;quest_id;st_answ;id_st;st_ans_calif
0;EM_45b;By letting it sit in a dish for a day.;EM.45b.110.1;0
1;EM_45b;Let the water evaporate and the salt is left behind.;EM.45b.113.1;1
2;EM_45b;The water evaporated and left salt crystals.;EM.45b.114.1;1
3;EM_45b;I saw a pinkish grayish color that was blocking the water.;EM.45b.261.1;0
4;EM_45b;You have to slowly tip the vial for only the water to go.;EM.45b.383.1;0
5;EM_45b;By pouring the water and salt into the thing, and letting the water evaporate.;EM.45b.384.1;1
6;EM_45b;By slowly pouring it in a tray.;EM.45b.385.1;0
7;EM_45b;The water evaporated so there was only salt left.;EM.45b.395.1;1
8;EM_45b;We put the water with the salt in it and put it outside for the water to evaporate.;EM.45b.402.1;1
9;EM_45b;I separated the salt from the water because the salt are on the rocks that are on the bottom and the water is on the top.;EM.45b.416.1;0
10;EM_45b;Because you can see salt in water.;EM.45b.418.1;0
11;EM_45b;I let the water evaporate.;EM.45b.420.1;1
12;EM_45b;The water dried up and left the salt.;EM.45b.421.1;1
13;EM_45b;We let the water evaporate.;EM.45b.431.1;1
14;EM_45b;The water dried up.;EM.45b.435.1;1
15;EM_45b;You just get water and the smashed mock rock and put the smashed rock and water together.;EM.45b.438.1;0
16;EM_45b;You put the water, a little bit, in a cup and leave it overnight.;EM.45b.444.1;0
17;EM_45b;We evaporated the salt from the water because the water evaporated and separated.;EM.45b.454.1;1
18;EM_45b;We put the water and salt in the Petri dish. The water evaporated and the salt became crystals.;EM.45b.460.1;1
19;EM_45b;We poured the salt into a Petri dish and poured the water out.;EM.45b.472.1;0
20;EM_45b;By the Petri dish.;EM.45b.474.1;0
21;EM_45b;By putting water in a Petri dish and letting the water evaporate.;EM.45b.476.1;1
22;EM_45b;Poured the top of the vial out.;EM.45b.477.1;0
23;EM_45b;The salt dissolved and the water evaporated and the salt went to the bottom.;EM.45b.491.1;1
24;EM_45b;We put it in a evaporation dish and the water evaporated.;EM.45b.497.1;1
25;EM_45b;I put it on the evaporating dish.;EM.45b.502.1;1
26;EM_45b;By pouring the water into the salt.;EM.45b.531.1;0
27;EM_45b;We poured the water out of the bottle.;EM.45b.562.1;0
28;EM_45b;Letting the water evaporate.;EM.45b.574.1;1
29;EM_45b;Put it on a dish and then the water gets in the air and the salt stays.;EM.45b.576.1;1
30;EM_45b;I do not know.;EM.45b.578.1;0
31;EM_45b;The salt separated with the water because the salt was heavier but the water was not even heavy.;EM.45b.591.1;0
32;EM_45b;We put the water in a clear cup and let it sit and the water evaporated and the salt stayed.;EM.45b.599.1;1
33;EM_45b;I put some water in a dish and let the water evaporate so the salt would stay.;EM.45b.605.1;1
34;EM_45b;Evaporate.;EM.45b.626.1;0
35;EM_45b;The crystals were salt.;EM.45b.645.1;0
36;EM_45c;We used magnifying glasses and some sort of guide thing that told us what different kinds of salt looks like.;EM.45c.103.1;0
37;EM_45c;You take a look through the magnifying glass.;EM.45c.108.1;0
38;EM_45c;Because of the paper we looked at.;EM.45c.123.1;0
39;EM_45c;We looked at a piece of paper and one of the pictures looked like the crystals.;EM.45c.259.1;0
40;EM_45c;They will not shine.;EM.45c.260.1;0
41;EM_45c;They were square like salt.;EM.45c.386.1;1
42;EM_45c;We knew the crystals were salt because the crystal identification chart showed us that the different kinds of salt were crystals.;EM.45c.393.1;0
43;EM_45c;It said so on a paper.;EM.45c.395.1;0
44;EM_45c;Because it was at it because we had a chart that could tell us that.;EM.45c.400.1;0
45;EM_45c;They looked like salt.;EM.45c.402.1;0
46;EM_45c;We got a sheet with different kinds of crystals. So I looked for the same picture like the crystal and it said Kosher salt.;EM.45c.417.1;1
47;EM_45c;The teacher told us.;EM.45c.436.1;0
48;EM_45c;Because salt is made up of little crystals.;EM.45c.440.1;0
49;EM_45c;Because salt look like little pieces of a crystal.;EM.45c.441.1;0
50;EM_45c;I knew because they were shaped like kosher salt.;EM.45c.443.1;1
51;EM_45c;I knew the crystals were salt by the movie we watched.;EM.45c.456.1;0
